Pokemon_1,Pokemon_2,Winner
Nincada,Togepi,Nincada
Piplup,Charmander,Charmander
Honedge,Simipour,Simipour
Whirlipede,Roserade,Roserade
Cobalion,Ivysaur,Cobalion
Slowbro,Ariados,Ariados
Treecko,Fraxure,Fraxure
Magmar,Stoutland,Magmar
Mime Jr.,Ekans,Ekans
Pineco,Rufflet,Rufflet
Corsola,Politoed,Politoed
Drowzee,Stunfisk,Stunfisk
Elekid,Rattata,Elekid
Sunkern,Pineco,Pineco
Heatmor,Musharna,Heatmor
Azumarill,Mudkip,Azumarill
Charmander,Cherrim,Cherrim
Torterra,Cherubi,Torterra
Sandile,Shedinja,Shedinja
Magnemite,Trubbish,Trubbish
Magnezone,Combee,Magnezone
Archeops,DeoxysAttack Forme,DeoxysAttack Forme
Mismagius,RayquazaMega Rayquaza,RayquazaMega Rayquaza
Rotom,RotomHeat Rotom,Rotom
Oddish,SwampertMega Swampert,SwampertMega Swampert
Gallade,Sylveon,Sylveon
Slowpoke,Mamoswine,Mamoswine
Lunatone,Gastrodon,Gastrodon
Mew,Swampert,Swampert
Shuckle,Latias,Latias
Accelgor,Electrike,Accelgor
Absol,Cacturne,Cacturne
Purrloin,Archen,Archen
MeowsticMale,Sunflora,MeowsticMale
Qwilfish,Fraxure,Qwilfish
Weavile,Koffing,Weavile
Toxicroak,Primeape,Primeape
Infernape,Fearow,Fearow
Charmeleon,Lairon,Lairon
Hawlucha,Poliwhirl,Hawlucha
MawileMega Mawile,Gothita,MawileMega Mawile
Exploud,LandorusIncarnate Forme,LandorusIncarnate Forme
Porygon2,Toxicroak,Toxicroak
Geodude,Minun,Minun
Lunatone,Yveltal,Yveltal
Cyndaquil,Wingull,Wingull
Honedge,Sandshrew,Sandshrew
Roserade,Lombre,Roserade
Luvdisc,Sandslash,Sandslash
Gyarados,Pikachu,Gyarados
Hawlucha,Metapod,Hawlucha
Minun,Dusclops,Dusclops
AbomasnowMega Abomasnow,Volcarona,Volcarona
Heliolisk,Onix,Onix
Granbull,Rhydon,Granbull
Mantyke,AggronMega Aggron,AggronMega Aggron
Herdier,SalamenceMega Salamence,SalamenceMega Salamence
TornadusTherian Forme,MawileMega Mawile,MawileMega Mawile
Vanillish,Regice,Regice
Kricketune,Raticate,Raticate
Corphish,Scizor,Scizor
Gastly,Kingdra,Kingdra
Alakazam,Heatmor,Alakazam
Doublade,Lumineon,Lumineon
Purrloin,Poliwag,Poliwag
Panpour,Druddigon,Druddigon
Mewtwo,Luxray,Mewtwo
Leavanny,Shuppet,Leavanny
Pyroar,Smeargle,Pyroar
AmpharosMega Ampharos,Genesect,Genesect
PidgeotMega Pidgeot,Ampharos,PidgeotMega Pidgeot
MewtwoMega Mewtwo X,Sneasel,MewtwoMega Mewtwo X
SwampertMega Swampert,Dewgong,SwampertMega Swampert
Slurpuff,Armaldo,Slurpuff
Wynaut,Grumpig,Grumpig
Gorebyss,ShayminLand Forme,ShayminLand Forme
Gurdurr,Sandile,Gurdurr
Honchkrow,Yveltal,Yveltal
Alakazam,Makuhita,Alakazam
Boldore,Porygon2,Porygon2
Luxio,Haunter,Haunter
Cobalion,Vivillon,Cobalion
GourgeistLarge Size,Honedge,GourgeistLarge Size
Froslass,GengarMega Gengar,GengarMega Gengar
Emolga,Boldore,Emolga
Cascoon,Torchic,Torchic
Scatterbug,Golem,Golem
Swinub,Sharpedo,Sharpedo
Magneton,Groudon,Groudon
Turtwig,Tangela,Tangela
Duskull,Zangoose,Zangoose
Purugly,Munchlax,Munchlax
Pichu,Sneasel,Sneasel
Slakoth,Dewott,Dewott
Walrein,Houndour,Walrein
Jynx,GourgeistLarge Size,Jynx
Regigigas,Kricketot,Regigigas
Dewott,Trapinch,Dewott
HeracrossMega Heracross,DarmanitanStandard Mode,DarmanitanStandard Mode
DarmanitanStandard Mode,Purrloin,DarmanitanStandard Mode
Zubat,Musharna,Musharna
Wooper,Fearow,Fearow
Wooper,Voltorb,Voltorb
Beartic,Simisage,Simisage
Flaaffy,Scatterbug,Flaaffy
Combusken,Smoochum,Combusken
Jigglypuff,DarmanitanZen Mode,DarmanitanZen Mode
Audino,Weepinbell,Weepinbell
Chingling,Luxio,Luxio
Yamask,Bidoof,Bidoof
Roserade,Misdreavus,Roserade
Cofagrigus,Togepi,Cofagrigus
Axew,GalladeMega Gallade,GalladeMega Gallade
Tranquill,CharizardMega Charizard Y,CharizardMega Charizard Y
Quilava,Mienshao,Mienshao
Klink,Ledian,Ledian
BlazikenMega Blaziken,Monferno,BlazikenMega Blaziken
Steelix,Lucario,Lucario
DiancieMega Diancie,Monferno,DiancieMega Diancie
GiratinaAltered Forme,Mantine,GiratinaAltered Forme
Hariyama,Wailmer,Wailmer
Exploud,Electabuzz,Electabuzz
Vespiquen,Samurott,Samurott
Cherubi,Cleffa,Cleffa
Solrock,Tyrogue,Solrock
Gastrodon,Mudkip,Gastrodon
Slowpoke,Castform,Castform
ManectricMega Manectric,Luxio,ManectricMega Manectric
Archen,Scolipede,Scolipede
Gyarados,BanetteMega Banette,BanetteMega Banette
GroudonPrimal Groudon,Musharna,GroudonPrimal Groudon
Graveler,Swellow,Swellow
Pelipper,Froslass,Froslass
Altaria,Hippowdon,Hippowdon
Petilil,Vanillite,Vanillite
Diggersby,HoundoomMega Houndoom,HoundoomMega Houndoom
Farfetch'd,Litleo,Litleo
Timburr,Meditite,Meditite
Charmeleon,Luvdisc,Luvdisc
Pidgeotto,Tirtouga,Tirtouga
Golem,Xerneas,Xerneas
AerodactylMega Aerodactyl,Cresselia,AerodactylMega Aerodactyl
Butterfree,Metang,Butterfree
Kyogre,Aron,Kyogre
Electrike,Lickilicky,Lickilicky
Magby,Stunfisk,Magby
Forretress,Cryogonal,Cryogonal
Quagsire,Seedot,Quagsire
Sneasel,Solrock,Sneasel
DeoxysSpeed Forme,Dusclops,DeoxysSpeed Forme
Mesprit,DarmanitanZen Mode,DarmanitanZen Mode
ThundurusIncarnate Forme,Simipour,ThundurusIncarnate Forme
AmpharosMega Ampharos,Froslass,Froslass
Flaaffy,Simisage,Simisage
MeowsticFemale,Machop,MeowsticFemale
Lunatone,Binacle,Lunatone
Kingdra,Frillish,Kingdra
Kyogre,Klang,Kyogre
Parasect,Elekid,Elekid
Virizion,Uxie,Uxie
Mightyena,Scatterbug,Mightyena
Mesprit,HoopaHoopa Unbound,HoopaHoopa Unbound
Braixen,Spritzee,Braixen
Ekans,Chimecho,Chimecho
Chatot,Hippopotas,Chatot
LandorusTherian Forme,Weavile,Weavile
HoopaHoopa Confined,Gulpin,HoopaHoopa Confined
Combee,Omastar,Omastar
BeedrillMega Beedrill,Golurk,Golurk
Mime Jr.,Plusle,Plusle
Klefki,Glameow,Klefki
Electivire,Froakie,Electivire
Diggersby,Krookodile,Krookodile
Combusken,Drifblim,Drifblim
RayquazaMega Rayquaza,Baltoy,RayquazaMega Rayquaza
Dusknoir,Litleo,Dusknoir
Flabébé,Tynamo,Tynamo
Zigzagoon,Frogadier,Frogadier
Heatmor,Grumpig,Grumpig
Electivire,Lampent,Electivire
Virizion,Weedle,Virizion
Misdreavus,Qwilfish,Qwilfish
Lunatone,Timburr,Lunatone
Vanilluxe,Sunkern,Vanilluxe
Bisharp,Lombre,Bisharp
Natu,Tentacool,Natu
Azelf,Mandibuzz,Mandibuzz
Skitty,Reuniclus,Reuniclus
Absol,Noivern,Noivern
Lapras,Banette,Banette
Hippopotas,Charmander,Charmander
Magby,Herdier,Herdier
ThundurusIncarnate Forme,Burmy,ThundurusIncarnate Forme
Baltoy,Mew,Mew
Swirlix,RayquazaMega Rayquaza,RayquazaMega Rayquaza
Sandshrew,Happiny,Sandshrew
Flareon,Bulbasaur,Flareon
Drifloon,TornadusIncarnate Forme,TornadusIncarnate Forme
Torkoal,Litleo,Litleo
Ho-oh,Staraptor,Ho-oh
Pangoro,SalamenceMega Salamence,SalamenceMega Salamence
Dodrio,Quilladin,Dodrio
Relicanth,Bibarel,Bibarel
Quilladin,Nidoran♀,Quilladin
Zoroark,Simisage,Simisage
Uxie,Sawk,Sawk
Sawsbuck,Sentret,Sawsbuck
Binacle,Snubbull,Binacle
Pinsir,Slaking,Slaking
Fennekin,Kabutops,Kabutops
Octillery,Exploud,Exploud
Yveltal,Solosis,Yveltal
Marowak,SteelixMega Steelix,SteelixMega Steelix
Forretress,Vigoroth,Vigoroth
Nosepass,Eevee,Eevee
Gastrodon,Snubbull,Gastrodon
Hippopotas,Qwilfish,Qwilfish
Garbodor,Budew,Garbodor
Elekid,Zoroark,Zoroark
Clefairy,Poliwag,Poliwag
Baltoy,Klinklang,Klinklang
Meowth,Magneton,Magneton
AbomasnowMega Abomasnow,Poochyena,AbomasnowMega Abomasnow
Torterra,Mawile,Torterra
Blastoise,Dustox,Blastoise
Cradily,Donphan,Donphan
PinsirMega Pinsir,Duskull,PinsirMega Pinsir
Corphish,Golem,Golem
Ferroseed,Lunatone,Lunatone
RayquazaMega Rayquaza,CharizardMega Charizard X,CharizardMega Charizard X
GlalieMega Glalie,Weavile,Weavile
Poliwrath,Hitmontop,Hitmontop
AerodactylMega Aerodactyl,Venipede,AerodactylMega Aerodactyl
Kingdra,Zygarde50% Forme,Zygarde50% Forme
Aron,Diglett,Diglett
Flareon,Snorlax,Flareon
Dragonite,Persian,Dragonite
TornadusTherian Forme,Buneary,TornadusTherian Forme
Chansey,Carvanha,Chansey
Elekid,Seismitoad,Seismitoad
Gible,Bronzor,Bronzor
Bunnelby,Octillery,Octillery
Gogoat,Poochyena,Gogoat
Entei,Shelmet,Entei
Rayquaza,Seel,Rayquaza
Groudon,Krokorok,Groudon
Servine,Vigoroth,Vigoroth
Pikachu,Aipom,Aipom
Mr. Mime,Koffing,Mr. Mime
Volcanion,Probopass,Volcanion
Paras,Skiploom,Skiploom
Mime Jr.,Banette,Banette
Pancham,Starly,Pancham
Lotad,Omanyte,Omanyte
Misdreavus,Darkrai,Darkrai
GarchompMega Garchomp,Chinchou,GarchompMega Garchomp
Gardevoir,Houndoom,Houndoom
Frillish,Whismur,Frillish
Bouffalant,Staravia,Bouffalant
Froslass,Sawsbuck,Sawsbuck
Simisear,Cinccino,Cinccino
MetagrossMega Metagross,Toxicroak,MetagrossMega Metagross
Venipede,Golbat,Golbat
Wigglytuff,Raticate,Raticate
Snubbull,Pikachu,Pikachu
Glalie,Goldeen,Glalie
Suicune,Vileplume,Suicune
Spearow,Zorua,Zorua
PumpkabooAverage Size,Lugia,Lugia
Cubone,Kingdra,Kingdra
Rhydon,Sentret,Rhydon
Gliscor,Walrein,Gliscor
Gigalith,Fletchinder,Gigalith
SteelixMega Steelix,Petilil,SteelixMega Steelix
Huntail,Drifloon,Huntail
Torkoal,Glalie,Glalie
Spritzee,Leafeon,Leafeon
Solosis,Blitzle,Blitzle
Skuntank,Mime Jr.,Skuntank
PumpkabooLarge Size,BanetteMega Banette,BanetteMega Banette
Happiny,Mr. Mime,Mr. Mime
Deerling,Lanturn,Lanturn
RotomWash Rotom,Alomomola,Alomomola
RotomFan Rotom,Linoone,Linoone
Magcargo,Magby,Magby
WormadamSandy Cloak,Milotic,Milotic
Gogoat,Psyduck,Gogoat
Feebas,Swadloon,Swadloon
Floette,Klang,Floette
Cottonee,Larvitar,Larvitar
Goomy,Lopunny,Lopunny
Dewott,Grumpig,Grumpig
Helioptile,Slakoth,Helioptile
Froslass,Taillow,Froslass
LucarioMega Lucario,Alakazam,Alakazam
Kyogre,Emboar,Kyogre
Entei,Litwick,Entei
ManectricMega Manectric,Rhyhorn,ManectricMega Manectric
Whiscash,Dugtrio,Dugtrio
Trubbish,Lillipup,Lillipup
CameruptMega Camerupt,Feraligatr,Feraligatr
Shedinja,TornadusTherian Forme,TornadusTherian Forme
Kadabra,Donphan,Kadabra
Noivern,Litleo,Noivern
DeoxysDefense Forme,Miltank,Miltank
Raticate,Poliwrath,Poliwrath
Magmar,Ekans,Magmar
Amoonguss,LandorusTherian Forme,LandorusTherian Forme
Sawk,Cleffa,Sawk
Buneary,Blissey,Blissey
SwampertMega Swampert,Pinsir,Pinsir
Magmortar,Octillery,Octillery
Ampharos,Stunky,Ampharos
Trubbish,Dragonair,Dragonair
Magmar,ScizorMega Scizor,Magmar
Grimer,Bisharp,Bisharp
Surskit,Leafeon,Leafeon
Gligar,Haxorus,Haxorus
Carbink,Castform,Castform
Roggenrola,Darkrai,Darkrai
Terrakion,GyaradosMega Gyarados,GyaradosMega Gyarados
Squirtle,MeowsticFemale,MeowsticFemale
Heliolisk,Empoleon,Empoleon
SteelixMega Steelix,Florges,Florges
Swablu,GourgeistLarge Size,GourgeistLarge Size
Seismitoad,Spheal,Seismitoad
Xatu,Palpitoad,Palpitoad
Dragonite,Bisharp,Bisharp
Seel,Lickitung,Seel
Hydreigon,Heracross,Heracross
Hypno,Vileplume,Hypno
Jellicent,Bulbasaur,Jellicent
CharizardMega Charizard X,Woobat,CharizardMega Charizard X
Cyndaquil,Gallade,Gallade
Azurill,Kricketune,Kricketune
SwampertMega Swampert,Foongus,SwampertMega Swampert
Xatu,Metagross,Xatu
Hawlucha,Malamar,Hawlucha
Salamence,Riolu,Salamence
Rufflet,Magmortar,Magmortar
Remoraid,Larvesta,Remoraid
Vigoroth,Tangrowth,Vigoroth
Nidorina,Dratini,Dratini
ManectricMega Manectric,KangaskhanMega Kangaskhan,ManectricMega Manectric
Luxio,KyuremBlack Kyurem,KyuremBlack Kyurem
AggronMega Aggron,Duosion,AggronMega Aggron
VenusaurMega Venusaur,Beartic,VenusaurMega Venusaur
ShayminLand Forme,Aromatisse,ShayminLand Forme
Mismagius,Skrelp,Mismagius
Bonsly,Venomoth,Venomoth
Trapinch,Quagsire,Quagsire
Ambipom,Sceptile,Sceptile
Shellder,Xerneas,Xerneas
Fletchinder,Regigigas,Regigigas
Swirlix,Camerupt,Camerupt
Mr. Mime,Ho-oh,Ho-oh
Charmeleon,Bastiodon,Charmeleon
Wartortle,Xatu,Xatu
Binacle,Nidoqueen,Nidoqueen
Maractus,Victreebel,Victreebel
Mismagius,Charmander,Mismagius
Seedot,Espeon,Espeon
VenusaurMega Venusaur,Munna,VenusaurMega Venusaur
Chansey,Drowzee,Chansey
Volcarona,Piplup,Volcarona
Registeel,Excadrill,Excadrill
Swalot,Dwebble,Swalot
Ludicolo,Simisage,Simisage
Flygon,Milotic,Flygon
Marowak,Ponyta,Ponyta
Snorlax,Weavile,Weavile
Honchkrow,Voltorb,Honchkrow
Yanmega,Porygon,Yanmega
Tyranitar,Weepinbell,Tyranitar
Arcanine,Simipour,Simipour
Snivy,Pelipper,Pelipper
Honchkrow,BlastoiseMega Blastoise,BlastoiseMega Blastoise
Unown,Tranquill,Tranquill
Meditite,Unown,Unown
Exeggcute,DeoxysSpeed Forme,DeoxysSpeed Forme
Magmar,Grotle,Magmar
Barbaracle,Dunsparce,Barbaracle
Eelektross,Bellsprout,Eelektross
Chimecho,Ditto,Chimecho
Phantump,Arbok,Arbok
Audino,AggronMega Aggron,AggronMega Aggron
Dodrio,Probopass,Probopass
Druddigon,Hitmontop,Hitmontop
Dunsparce,Prinplup,Prinplup
Nidoran♂,Gastrodon,Gastrodon
Zorua,Umbreon,Umbreon
Ursaring,Shuppet,Ursaring
LatiosMega Latios,KyogrePrimal Kyogre,KyogrePrimal Kyogre
Machop,DeoxysDefense Forme,DeoxysDefense Forme
Politoed,Duskull,Politoed
Charizard,Latias,Latias
Dewgong,Chansey,Dewgong
Wartortle,Azurill,Wartortle
Linoone,Slaking,Slaking
Taillow,Masquerain,Masquerain
Bulbasaur,Probopass,Probopass
Herdier,Swirlix,Herdier
Accelgor,Spearow,Accelgor
Combee,Sharpedo,Sharpedo
Golett,Tangrowth,Tangrowth
Lucario,Rampardos,Lucario
Sawk,Ledian,Sawk
Trubbish,Cinccino,Cinccino
Chansey,Wartortle,Wartortle
MawileMega Mawile,Duskull,MawileMega Mawile
Drapion,Aggron,Aggron
Fearow,Shieldon,Fearow
Braviary,Scatterbug,Braviary
Gulpin,ManectricMega Manectric,ManectricMega Manectric
Vullaby,Hitmonlee,Hitmonlee
Bronzong,Ducklett,Bronzong
Skiploom,Gloom,Skiploom
Mime Jr.,SalamenceMega Salamence,SalamenceMega Salamence
GiratinaOrigin Forme,Houndour,GiratinaOrigin Forme
Swoobat,Rattata,Swoobat
PidgeotMega Pidgeot,Huntail,PidgeotMega Pidgeot
Staryu,Beedrill,Staryu
Floette,Skiploom,Skiploom
Pelipper,Luvdisc,Pelipper
Togepi,Elekid,Elekid
Tranquill,Tangela,Tranquill
Hariyama,Solrock,Solrock
Marowak,Gengar,Gengar
Entei,Klang,Entei
Stunfisk,Ho-oh,Ho-oh
Deino,Makuhita,Deino
Hoppip,Bellsprout,Bellsprout
Rotom,Chandelure,Rotom
Eelektrik,Vaporeon,Vaporeon
Sandile,Shedinja,Sandile
Exeggutor,Audino,Audino
Armaldo,Yanma,Yanma
Diancie,Dedenne,Diancie
Tyranitar,Jynx,Tyranitar
Alakazam,Tauros,Alakazam
Zubat,Stantler,Stantler
Magneton,Lapras,Magneton
Flabébé,MawileMega Mawile,MawileMega Mawile
Quilladin,Litwick,Quilladin
Regice,ThundurusTherian Forme,ThundurusTherian Forme
Nidorina,Hypno,Hypno
AlakazamMega Alakazam,Treecko,AlakazamMega Alakazam
Feraligatr,Fennekin,Feraligatr
HoopaHoopa Confined,Slurpuff,Slurpuff
Whiscash,Vespiquen,Vespiquen
Rotom,Seaking,Rotom
DarmanitanStandard Mode,Cherubi,DarmanitanStandard Mode
Regigigas,Noivern,Noivern
Arcanine,Dialga,Dialga
Bisharp,Zapdos,Zapdos
Volbeat,Avalugg,Volbeat
Chikorita,Charizard,Charizard
Noctowl,Flaaffy,Flaaffy
Kabuto,Simipour,Simipour
Porygon-Z,Vigoroth,Vigoroth
SalamenceMega Salamence,Alomomola,SalamenceMega Salamence
Mime Jr.,Slowking,Slowking
Glalie,Sceptile,Sceptile
KeldeoResolute Forme,Pyroar,KeldeoResolute Forme
CharizardMega Charizard X,Dusknoir,CharizardMega Charizard X
Goodra,Slakoth,Goodra
Garbodor,Axew,Garbodor
Carbink,Bronzong,Bronzong
Musharna,Lileep,Musharna
Absol,Aipom,Aipom
Basculin,Sceptile,Sceptile
Skrelp,Trevenant,Trevenant
Clamperl,Ninjask,Ninjask
LandorusTherian Forme,Hydreigon,Hydreigon
Emboar,Eelektrik,Emboar
Magikarp,Bagon,Bagon
Trubbish,Lugia,Lugia
Shuckle,Audino,Audino
Latias,Finneon,Latias
Lampent,Meganium,Meganium
Gabite,Barbaracle,Gabite
Ducklett,Seaking,Seaking
Chimchar,Spewpa,Chimchar
Scolipede,AmpharosMega Ampharos,AmpharosMega Ampharos
Gallade,Boldore,Gallade
DeoxysDefense Forme,Tentacool,DeoxysDefense Forme
Poliwhirl,TornadusIncarnate Forme,TornadusIncarnate Forme
Luxray,Spritzee,Luxray
LandorusTherian Forme,Fraxure,LandorusTherian Forme
AltariaMega Altaria,Accelgor,Accelgor
Ledian,Swablu,Swablu
Kyogre,Altaria,Kyogre
Latias,Sandslash,Latias
Mudkip,Palpitoad,Palpitoad
Clamperl,Klink,Klink
Solrock,Exeggcute,Solrock
Mothim,LandorusIncarnate Forme,LandorusIncarnate Forme
Numel,Cottonee,Cottonee
Mew,Timburr,Mew
Skorupi,Timburr,Timburr
Spewpa,PumpkabooSuper Size,PumpkabooSuper Size
Mime Jr.,Vaporeon,Vaporeon
Exeggcute,Beheeyem,Beheeyem
Swanna,Krabby,Swanna
AlakazamMega Alakazam,Minun,AlakazamMega Alakazam
Sandshrew,Lickilicky,Lickilicky
Frogadier,Stunfisk,Frogadier
MeowsticFemale,Roggenrola,MeowsticFemale
Sigilyph,Anorith,Sigilyph
Silcoon,Azumarill,Azumarill
Noibat,Piplup,Noibat
Swoobat,Vileplume,Swoobat
Miltank,MeowsticFemale,MeowsticFemale
Horsea,Sharpedo,Sharpedo
Crawdaunt,Marowak,Marowak
Bastiodon,Litwick,Bastiodon
Wigglytuff,Golett,Wigglytuff
Sudowoodo,Duskull,Sudowoodo
Shiftry,Scizor,Scizor
Liepard,Kabuto,Kabuto
Hitmontop,Archeops,Archeops
Igglybuff,Phione,Phione
Cradily,Carracosta,Cradily
Zekrom,Chinchou,Zekrom
Conkeldurr,Snover,Conkeldurr
Monferno,Patrat,Monferno
Scolipede,Xatu,Scolipede
Anorith,Gastly,Gastly
Seaking,Jolteon,Jolteon
SteelixMega Steelix,Mime Jr.,SteelixMega Steelix
Magmortar,Golem,Golem
GyaradosMega Gyarados,Steelix,GyaradosMega Gyarados
Noibat,Magnemite,Magnemite
SableyeMega Sableye,AegislashBlade Forme,AegislashBlade Forme
Litwick,Latias,Latias
Pidgey,Marill,Marill
Qwilfish,Cresselia,Cresselia
Mareep,Muk,Muk
Bronzor,Omanyte,Omanyte
Escavalier,Swampert,Swampert
Flareon,Combusken,Combusken
Granbull,Milotic,Milotic
Furret,Banette,Banette
Linoone,Krabby,Linoone
Blastoise,Amoonguss,Blastoise
Pidgeotto,Stoutland,Stoutland
Azumarill,Manectric,Manectric
RotomWash Rotom,Wailord,RotomWash Rotom
Darkrai,Sharpedo,Darkrai
Dunsparce,Honedge,Honedge
Combusken,Marill,Combusken
Pignite,Gardevoir,Gardevoir
Deerling,Xerneas,Xerneas
Azelf,Seaking,Azelf
Wynaut,Spearow,Spearow
Volbeat,Claydol,Claydol
Raticate,KeldeoResolute Forme,KeldeoResolute Forme
Dodrio,Medicham,Medicham
Samurott,Drifloon,Samurott
Oddish,Haunter,Haunter
Lairon,Vespiquen,Lairon
Tyranitar,Slugma,Tyranitar
Timburr,Oddish,Oddish
Horsea,Illumise,Illumise
Spinarak,Gothorita,Gothorita
Simipour,Poochyena,Simipour
BanetteMega Banette,Nincada,BanetteMega Banette
Dratini,Dragonair,Dragonair
Helioptile,Meowth,Meowth
Yanmega,Anorith,Yanmega
Marowak,Whimsicott,Whimsicott
Trubbish,Kricketot,Trubbish
Pyroar,Ninjask,Ninjask
Mothim,AbomasnowMega Abomasnow,AbomasnowMega Abomasnow
Alakazam,Electivire,Alakazam
Torterra,Electivire,Electivire
Seaking,Seedot,Seaking
LatiasMega Latias,Barbaracle,LatiasMega Latias
Hoothoot,Bonsly,Bonsly
Luxray,Magnezone,Magnezone
Swadloon,Diggersby,Diggersby
Feebas,Alomomola,Alomomola
Minun,Latias,Latias
Murkrow,Aipom,Aipom
Feraligatr,Diancie,Diancie
Stunfisk,Croagunk,Stunfisk
Simipour,Quagsire,Quagsire
Yamask,Corsola,Corsola
Nidorina,Cherubi,Nidorina
Mightyena,Exeggutor,Mightyena
Starmie,Pichu,Starmie
Pachirisu,Exeggutor,Exeggutor
Tentacool,Togekiss,Togekiss
Tyranitar,Swoobat,Tyranitar
Ninjask,Shuppet,Ninjask
Raichu,SalamenceMega Salamence,SalamenceMega Salamence
Vivillon,Gogoat,Vivillon
Aurorus,Dwebble,Aurorus
Snubbull,Teddiursa,Teddiursa
Virizion,Flaaffy,Virizion
Azumarill,KeldeoResolute Forme,KeldeoResolute Forme
Pineco,Kingdra,Kingdra
Rhydon,Cleffa,Rhydon
Sceptile,Electivire,Sceptile
Masquerain,Shuppet,Masquerain
Mamoswine,Pupitar,Mamoswine
Kirlia,Cloyster,Cloyster
Emolga,Bouffalant,Emolga
Honedge,Gastrodon,Gastrodon
Munchlax,AmpharosMega Ampharos,AmpharosMega Ampharos
Kadabra,Magcargo,Magcargo
Croagunk,Amoonguss,Amoonguss
Budew,Volbeat,Volbeat
Munna,Goldeen,Goldeen
Poliwrath,GiratinaAltered Forme,GiratinaAltered Forme
Torkoal,Grotle,Grotle
Abra,Skrelp,Abra
Carracosta,Jumpluff,Jumpluff
Swinub,Inkay,Swinub
Gligar,Reshiram,Reshiram
Amoonguss,Clefairy,Amoonguss
Eelektrik,Lugia,Lugia
Lumineon,Miltank,Miltank
Abra,Monferno,Monferno
Politoed,Relicanth,Politoed
Gogoat,Machop,Gogoat
Natu,Pidove,Natu
Aurorus,Riolu,Aurorus
Wailmer,Dragonite,Dragonite
RotomHeat Rotom,Gogoat,Gogoat
Glaceon,Cubchoo,Glaceon
Mantyke,Swanna,Swanna
Kingdra,GourgeistAverage Size,Kingdra
Boldore,Nosepass,Nosepass
Buizel,Torkoal,Torkoal
Tangrowth,Magnezone,Magnezone
Mightyena,Wynaut,Mightyena
Diglett,Sableye,Sableye
Carvanha,BlastoiseMega Blastoise,BlastoiseMega Blastoise
Electabuzz,Duskull,Electabuzz
Typhlosion,Charizard,Charizard
Jynx,Dewott,Dewott
Minun,Salamence,Salamence
Zubat,Garbodor,Garbodor
Crawdaunt,Watchog,Watchog
Butterfree,Gogoat,Gogoat
Ampharos,Girafarig,Girafarig
Bronzor,Metang,Metang
MeowsticMale,Excadrill,Excadrill
Swinub,Ivysaur,Ivysaur
Phantump,Teddiursa,Teddiursa
Turtwig,Tentacool,Tentacool
Poliwag,Sawsbuck,Sawsbuck
Frillish,Tauros,Tauros
