Total_p1,Type1_p1,Type2_p1,Speed_p1,Total_p2,Type1_p2,Type2_p2,Speed_p2,Winner,Win_Probability
420,Normal,,70,580,Psychic,,115,0,0.0
299,Fire,,65,500,Bug,Steel,65,0,0.0
300,Fairy,,30,250,Ice,Ground,50,0,0.0
290,Ice,Water,25,409,Fire,,73,0,0.0
490,Normal,,90,262,Normal,Flying,50,1,1.0
515,Water,Poison,100,300,Steel,Psychic,30,1,1.0
510,Dark,Flying,80,580,Flying,,111,0,0.0
500,Ground,,50,350,Rock,Steel,30,1,1.0
305,Fighting,,70,410,Normal,Water,71,0,0.0
528,Water,,70,294,Water,,64,1,1.0
490,Grass,Poison,70,485,Water,,52,1,0.6689419795221843
405,Ghost,Poison,95,600,Psychic,,150,0,0.0
405,Ground,,120,500,Ground,,50,0,0.44751381215469616
490,Grass,Poison,70,295,Electric,,76,1,1.0
400,Water,,60,335,Normal,Grass,75,0,0.0
425,Psychic,Flying,114,550,Bug,Fire,100,0,0.6071428571428571
520,Water,Psychic,115,482,Normal,,115,0,0.3504043126684636
442,Normal,Flying,70,218,Fairy,,15,1,1.0
405,Grass,Poison,60,400,Bug,,85,0,0.0
320,Ground,,35,250,Water,Fairy,40,0,0.0
330,Normal,,40,480,Grass,,90,0,0.0
316,Grass,,64,488,Normal,Flying,93,0,0.0
540,Dragon,,97,660,Dragon,Ice,95,0,0.6206896551724138
625,Fighting,Steel,112,315,Bug,,60,1,1.0
600,Psychic,,150,484,Bug,Steel,109,1,0.3826530612244898
460,Water,Electric,67,411,Bug,Flying,89,0,0.0
508,Ground,Steel,88,355,Psychic,,68,1,1.0
288,Water,Ground,60,275,Normal,,55,0,0.5115452930728241
400,Bug,,85,515,Grass,Poison,90,0,0.0
253,Normal,,72,510,Dark,Flying,80,0,0.0
600,Ground,Flying,101,535,Flying,Dragon,123,0,0.0
355,Rock,Water,35,700,Rock,Fairy,110,0,0.0
330,Steel,Rock,30,305,Ice,,44,0,0.0
305,Ice,Psychic,65,395,Ice,,59,1,0.2785388127853881
770,Ground,Fire,90,410,Dragon,,67,1,1.0
280,Grass,Poison,55,410,Dragon,,67,0,0.0
405,Fairy,Flying,40,390,Normal,,5,1,0.5094339622641509
500,Poison,,50,680,Dragon,Flying,95,0,0.0
350,Fire,,60,345,Ground,Rock,25,1,0.33653846153846156
295,Grass,,35,580,Flying,,111,0,0.0
300,Ice,,50,514,Ice,,28,0,0.0
340,Ground,Dragon,70,525,Ground,,47,0,0.0
380,Water,Rock,35,700,Rock,Fairy,110,0,0.0
335,Grass,,35,523,Electric,,70,0,0.0
520,Water,Psychic,115,580,Fire,Flying,90,1,0.6419753086419753
309,Fire,,65,340,Grass,Flying,80,0,0.0
635,Water,Ground,70,362,Rock,Dragon,48,1,1.0
440,Steel,,50,200,Bug,,35,1,1.0
305,Bug,Poison,45,615,Rock,Flying,150,0,0.0
330,Water,,85,275,Electric,,60,1,0.5454545454545454
600,Bug,Flying,105,200,Water,,80,1,1.0
465,Normal,,85,310,Water,,40,1,1.0
340,Ground,Dragon,70,555,Ghost,,75,0,0.0
535,Normal,,90,395,Ice,,59,1,1.0
455,Fighting,,87,485,Water,Rock,55,0,0.6523297491039427
455,Normal,Psychic,85,600,Ground,Flying,91,0,0.0
498,Ghost,Flying,80,310,Bug,Grass,42,1,1.0
395,Ice,,59,472,Normal,,102,0,0.0
349,Normal,Flying,71,385,Rock,Ground,70,1,0.18475383800952885
490,Grass,Poison,50,362,Rock,Dragon,48,1,1.0
579,Normal,Flying,121,413,Grass,,83,1,1.0
288,Normal,,48,580,Ice,,100,0,0.0
525,Ghost,,45,304,Ice,,28,1,1.0
590,Water,Psychic,30,454,Grass,,46,0,0.0
579,Normal,Flying,121,530,Grass,Fighting,64,1,0.8137737174982431
525,Psychic,,110,270,Normal,Flying,85,1,1.0
405,Electric,,95,405,Electric,,95,1,0.2
288,Water,Ground,60,780,Dragon,Flying,115,0,0.0
465,Electric,Steel,70,210,Fighting,,35,1,1.0
590,Psychic,,150,600,Psychic,,150,1,0.19732441471571907
515,Rock,Flying,130,510,Dark,Ice,125,1,0.6688311688311688
290,Rock,,10,600,Normal,Psychic,90,0,0.0
465,Steel,Flying,70,483,Ground,Ghost,55,0,0.49050632911392406
435,Grass,,60,525,Fairy,,60,0,0.29292929292929293
320,Water,,55,410,Fighting,Psychic,80,0,0.0
405,Fighting,,45,500,Fighting,Flying,118,0,0.0
680,Water,Dragon,100,275,Ghost,Fire,20,1,1.0
330,Psychic,,60,600,Psychic,,150,0,0.0
414,Bug,Flying,60,371,Fairy,,52,0,0.35813148788927335
280,Fighting,Psychic,60,200,Water,,80,1,1.0
352,Normal,Flying,60,330,Poison,Bug,65,0,0.0
520,Steel,Ghost,60,335,Ghost,Grass,56,1,1.0
300,Ground,,40,483,Psychic,,67,0,0.0
670,Water,,90,289,Electric,Normal,70,1,1.0
414,Bug,Flying,60,580,Ice,,100,0,0.0
380,Dark,Ghost,50,330,Water,,97,0,0.0
460,Water,,98,335,Psychic,,30,1,1.0
395,Grass,Poison,40,340,Normal,Flying,80,0,0.0
520,Electric,Water,86,528,Grass,,113,0,0.0
590,Water,Psychic,30,498,Grass,,101,0,0.0
525,Grass,,95,700,Dragon,Ice,95,0,0.0
390,Rock,Ground,35,485,Water,,52,0,0.0
480,Dark,Ghost,20,200,Bug,,35,1,1.0
555,Fire,,95,310,Normal,Flying,75,1,1.0
525,Dark,,65,600,Rock,Dark,61,1,0.30434782608695654
349,Normal,Flying,71,680,Psychic,Flying,110,0,0.0
405,Water,,58,330,Water,,66,0,0.0
370,Dark,Flying,60,525,Fairy,,60,0,0.0
314,Water,,43,425,Psychic,Flying,114,0,0.0
325,Poison,,25,380,Bug,Grass,42,0,0.0
580,Steel,,50,285,Fighting,,60,1,1.0
540,Fire,Psychic,55,350,Normal,Flying,60,1,1.0
483,Ghost,,30,535,Ice,,79,0,0.0
465,Water,Flying,70,494,Grass,Ice,60,0,0.4848800834202294
525,Water,,65,340,Water,Grass,50,1,1.0
525,Grass,Ground,56,405,Fighting,,40,0,0.5645161290322581
467,Poison,,55,413,Water,,60,0,0.0
479,Normal,Flying,101,700,Dragon,Psychic,110,0,0.0
349,Normal,Flying,71,515,Grass,Poison,90,0,0.0
505,Fighting,,55,345,Ground,Rock,25,1,1.0
565,Dark,,115,499,Fire,Flying,126,0,0.0
385,Rock,Ground,70,630,Fire,Fighting,100,0,0.0
485,Water,Rock,55,507,Fire,Normal,106,0,0.0
430,Water,Poison,85,531,Grass,,68,0,0.4474505723204995
480,Normal,,105,300,Steel,,30,1,1.0
450,Normal,,50,348,Fighting,,43,1,0.5639097744360902
236,Bug,Ghost,40,305,Ice,,40,0,0.2789598108747045
460,Grass,Fighting,70,348,Fighting,,43,1,1.0
410,Fire,Rock,30,600,Grass,,100,0,0.0
355,Rock,Bug,75,473,Water,Flying,98,0,0.0
410,Rock,,30,450,Fairy,,45,0,0.0
534,Fire,Flying,100,525,Fire,,65,1,0.3371212121212121
395,Bug,Poison,75,525,Fighting,Steel,90,0,0.0
490,Poison,,60,431,Electric,Fairy,101,0,0.0
385,Normal,,30,590,Dragon,Fairy,80,0,0.0
610,Electric,Dragon,45,237,Normal,,57,1,1.0
299,Fire,,65,530,Ice,Ground,80,0,0.0
400,Bug,,85,494,Grass,Ice,60,0,0.6182380216383307
465,Steel,Flying,70,245,Flying,Dragon,55,1,1.0
450,Ice,Ground,50,484,Bug,Steel,109,0,0.0
630,Water,,78,428,Electric,Flying,103,1,1.0
535,Water,Ice,60,483,Ground,Ghost,55,0,0.8158597026305757
340,Normal,Flying,80,363,Electric,,60,0,0.31894934333958724
220,Normal,,30,500,Rock,Fairy,50,0,0.0
349,Normal,Flying,71,460,Grass,Flying,110,0,0.0
618,Psychic,Fairy,100,460,Grass,Flying,51,1,1.0
600,Ground,Flying,101,237,Normal,,57,1,1.0
300,Rock,Ground,20,514,Ice,,28,0,0.0
420,Steel,Psychic,50,483,Ground,Ghost,55,0,0.0
530,Water,,78,590,Normal,,100,0,0.0
470,Psychic,Flying,95,314,Water,,40,1,1.0
520,Electric,Fire,86,528,Fire,Fighting,65,0,0.3299492385786802
395,Grass,Poison,40,535,Flying,Dragon,123,0,0.0
600,Rock,Dark,61,480,Steel,Fairy,50,0,0.23809523809523808
590,Normal,,100,521,Rock,Ice,58,0,0.36151960784313725
405,Electric,,95,471,Ground,Electric,32,0,0.0
294,Water,,64,405,Water,,97,0,0.0
495,Bug,Poison,145,590,Dragon,Fairy,80,1,0.45622119815668205
310,Bug,Grass,42,550,Bug,Fire,100,0,0.0
205,Electric,,60,263,Electric,,45,0,0.280437756497948
273,Poison,,50,295,Electric,,65,0,0.0
281,Dark,,66,481,Electric,Normal,109,0,0.0
520,Water,Psychic,115,330,Water,,97,1,1.0
495,Rock,Water,80,700,Dragon,Flying,120,0,0.0
405,Grass,Poison,60,405,Fairy,Flying,40,1,0.5
420,Dark,,70,600,Dark,,125,0,0.0
490,Grass,,50,418,Fire,Fighting,55,0,0.0
385,Water,,90,600,Psychic,Fire,100,0,0.0
300,Grass,Poison,40,600,Bug,Fighting,75,0,0.0
580,Normal,Fighting,135,285,Psychic,,45,1,1.0
315,Water,Psychic,15,600,Dragon,Psychic,110,0,0.0
580,Ice,Flying,85,600,Dragon,Psychic,110,0,0.0
500,Psychic,,120,580,Grass,Fighting,108,0,0.6329113924050633
195,Bug,Poison,50,405,Electric,,95,0,0.0
555,Ghost,,75,341,Fairy,,49,1,1.0
460,Water,Electric,67,362,Rock,Dragon,48,1,0.3885135135135135
395,Bug,Poison,75,260,Normal,,50,1,1.0
320,Grass,Poison,30,290,Ice,Water,25,1,0.6881720430107527
580,Ice,,50,250,Normal,,31,1,1.0
295,Grass,,35,490,Dragon,Flying,80,0,0.0
630,Water,,78,500,Fire,,105,0,0.0
600,Dark,,125,316,Grass,,64,1,1.0
350,Fighting,,65,600,Fire,Water,70,0,0.0
510,Fighting,Psychic,100,424,Bug,Steel,36,0,0.3755522827687776
299,Fire,,65,535,Water,Ice,60,0,0.0
325,Grass,Psychic,40,405,Grass,,57,0,0.0
340,Grass,Dark,60,270,Normal,Flying,85,0,0.0
385,Bug,Poison,65,303,Fairy,,42,1,0.559593023255814
490,Water,Psychic,30,224,Bug,,36,1,1.0
336,Psychic,,48,485,Ghost,Dark,35,0,0.0
325,Electric,Steel,45,534,Fire,Fighting,108,0,0.0
580,Psychic,,80,360,Bug,Fire,60,1,1.0
205,Bug,,30,600,Psychic,,180,0,0.0
236,Bug,Ghost,40,500,Bug,Grass,92,0,0.0
415,Normal,,90,405,Water,Ground,50,0,0.5060975609756098
500,Steel,Psychic,33,660,Dragon,Ice,95,0,0.0
680,Fire,Flying,90,348,Ghost,Flying,70,1,1.0
410,Rock,,30,318,Grass,,31,0,0.0
518,Psychic,Fairy,80,424,Bug,Steel,36,0,0.23396567299006324
299,Fire,,65,350,Fire,,60,1,0.2992992992992993
300,Rock,Ground,20,510,Dark,Ice,125,0,0.0
280,Normal,,30,520,Steel,,90,0,0.0
480,Grass,Dark,80,483,Ghost,,30,1,0.6652806652806653
385,Bug,Poison,65,495,Water,Rock,32,0,0.28
405,Fire,,80,430,Water,Ground,35,0,0.3201581027667984
288,Water,Ground,60,525,Grass,,95,0,0.0
288,Normal,,48,590,Dragon,Fairy,80,0,0.0
390,Rock,Ground,35,405,Grass,,60,0,0.0
540,Normal,,30,580,Psychic,,80,0,0.0
220,Dark,,35,530,Ice,Ground,80,0,0.0
220,Normal,,30,520,Steel,Ghost,60,0,0.0
352,Normal,Flying,60,330,Water,,97,0,0.0
530,Water,,78,352,Normal,Flying,60,1,1.0
510,Normal,Flying,80,303,Fairy,,42,1,1.0
405,Water,,58,210,Normal,Fairy,15,1,1.0
494,Ghost,Grass,69,304,Ice,,28,1,1.0
340,Normal,Flying,80,300,Poison,Fighting,50,1,0.6938775510204082
430,Ground,Flying,85,525,Grass,,95,0,0.0
505,Poison,Ground,76,450,Bug,Poison,90,0,0.0
500,Poison,Dark,95,700,Dragon,Ice,95,0,0.0
251,Normal,Flying,56,340,Dark,Steel,60,0,0.0
405,Psychic,,33,415,Normal,,45,0,0.0
525,Water,,65,480,Grass,Fairy,116,0,0.0
440,Water,,85,600,Bug,Steel,99,0,0.0
314,Water,,43,400,Water,,60,0,0.0
280,Grass,Poison,55,335,Ghost,Grass,41,0,0.29473684210526313
335,Normal,Grass,75,350,Fighting,,65,1,0.48905109489051096
390,Rock,Ground,35,360,Normal,,48,0,0.0
600,Psychic,,150,490,Psychic,,65,0,0.379746835443038
560,Water,Dark,105,405,Grass,,57,1,1.0
455,Ghost,,25,294,Grass,Poison,15,1,1.0
290,Ground,,10,495,Rock,Steel,30,0,0.0
455,Normal,Psychic,85,495,Water,Rock,32,1,0.314878892733564
220,Water,Grass,30,466,Psychic,,104,0,0.0
309,Fire,,65,535,Normal,,90,0,0.0
318,Grass,,45,448,Steel,Ghost,35,0,0.0
430,Normal,Flying,125,498,Fire,,101,0,0.46336206896551724
420,Water,Fairy,50,288,Dark,Psychic,45,1,1.0
245,Normal,Flying,60,466,Psychic,,104,0,0.0
405,Fighting,,45,400,Water,,60,0,0.0
401,Rock,Flying,70,540,Dragon,,97,0,0.0
525,Water,Ice,70,625,Fighting,Steel,112,0,0.0
405,Water,,58,265,Bug,Flying,55,1,1.0
405,Water,Ground,50,485,Ice,,105,0,0.0
495,Bug,Poison,145,350,Fire,,60,1,1.0
320,Grass,Poison,30,401,Rock,Flying,70,0,0.0
515,Rock,Flying,130,237,Fighting,,25,1,1.0
428,Electric,Flying,103,494,Poison,Dragon,44,0,0.3022598870056497
370,Ghost,Fire,55,245,Flying,Dragon,55,1,1.0
250,Normal,,75,405,Grass,,95,0,0.0
345,Ground,Rock,25,430,Steel,Rock,40,0,0.0
205,Bug,,30,316,Water,,64,0,0.0
410,Dragon,Ground,82,303,Fairy,,42,1,1.0
250,Ice,Ground,50,224,Bug,,36,0,0.35816618911174786
495,Rock,Grass,43,264,Normal,Flying,43,1,1.0
580,Water,,85,414,Bug,Flying,60,1,1.0
560,Fire,Ground,20,700,Dragon,Psychic,110,0,0.0
288,Normal,,48,680,Dragon,Fire,90,0,0.0
630,Steel,,50,300,Normal,,75,1,1.0
490,Water,Psychic,30,336,Psychic,,48,1,1.0
600,Psychic,,85,485,Ice,,105,0,0.0
413,Normal,,97,320,Poison,Water,30,0,0.5634379263301501
288,Poison,,55,450,Normal,,50,0,0.0
510,Water,Fighting,70,302,Poison,,40,1,1.0
215,Normal,,20,454,Grass,,46,0,0.0
335,Grass,,35,303,Fairy,,42,0,0.0
580,Electric,Flying,111,535,Flying,Dragon,123,0,0.0
205,Bug,Poison,35,495,Ghost,,105,0,0.0
435,Grass,,60,335,Water,Ghost,40,1,0.7219917012448133
490,Poison,Fighting,85,500,Rock,Fairy,50,0,0.494949494949495
195,Bug,Poison,50,424,Bug,Flying,66,0,0.0
325,Water,,34,300,Steel,Psychic,23,0,0.52
266,Bug,Ground,40,454,Grass,,46,0,0.0
330,Electric,,100,278,Normal,Flying,62,0,0.7036247334754797
490,Normal,,68,600,Dragon,,80,0,0.0
590,Water,Psychic,30,680,Dark,Flying,99,0,0.0
590,Psychic,,150,300,Fairy,,30,1,1.0
405,Fairy,Flying,40,305,Fighting,,35,1,1.0
305,Water,,40,475,Grass,Dark,55,0,0.0
450,Ground,,65,395,Bug,Flying,65,0,0.0
390,Bug,Poison,40,507,Fire,Normal,106,0,0.0
415,Normal,,90,329,Poison,Dark,74,1,0.5577956989247311
240,Normal,,60,528,Water,,70,0,0.0
590,Psychic,,150,405,Fighting,,40,1,1.0
275,Poison,,41,350,Normal,,85,0,0.0
325,Steel,Ghost,28,600,Dragon,,80,0,0.0
363,Electric,,60,480,Normal,,105,0,0.0
410,Fighting,Psychic,80,480,Normal,,105,0,0.0
395,Normal,,40,405,Fire,Fighting,55,0,0.0
480,Water,,45,500,Rock,Fairy,50,0,0.0
700,Steel,Psychic,110,520,Electric,Water,86,1,1.0
340,Water,,85,580,Electric,Flying,100,0,0.0
205,Electric,,60,295,Ghost,,45,0,0.0
424,Bug,Flying,66,213,Bug,,29,1,1.0
440,Normal,,90,330,Water,,85,1,1.0
290,Psychic,,45,535,Flying,Dragon,123,0,0.0
600,Psychic,,85,487,Psychic,,29,0,0.3811944091486658
535,Water,Ice,60,362,Rock,Dragon,48,1,1.0
205,Bug,Poison,35,240,Normal,,60,0,0.0
500,Normal,,80,304,Ice,,28,1,1.0
475,Water,,75,295,Electric,,76,1,1.0
415,Normal,,45,528,Grass,,113,0,0.0
245,Fairy,,20,630,Grass,Dragon,145,0,0.0
325,Electric,Steel,45,525,Dark,,65,0,0.0
580,Rock,,50,280,Grass,Poison,55,1,1.0
425,Grass,,30,770,Ground,Fire,90,0,0.0
480,Grass,Dark,80,580,Normal,Fighting,135,0,0.0
475,Water,Ice,70,362,Rock,Ice,46,1,1.0
305,Fighting,,35,500,Fighting,Flying,118,0,0.0
236,Bug,Ghost,40,600,Psychic,Fire,100,0,0.0
580,Water,,85,260,Bug,Poison,57,1,1.0
195,Bug,,20,313,Psychic,Flying,72,0,0.0
440,Rock,Psychic,70,263,Electric,,45,1,1.0
365,Electric,,45,680,Steel,Dragon,90,0,0.0
508,Ground,Steel,88,401,Rock,Flying,70,0,0.0
456,Bug,Flying,160,474,Bug,Flying,40,0,0.49032258064516127
395,Bug,Flying,65,484,Bug,Steel,109,0,0.0
345,Ground,Rock,25,525,Grass,,95,0,0.0
405,Bug,Grass,30,300,Dragon,Ground,42,1,1.0
580,Electric,,115,370,Ghost,Fire,55,1,1.0
300,Ground,,40,308,Grass,,63,0,0.0
700,Steel,Psychic,110,475,Bug,Rock,45,1,1.0
280,Electric,,35,300,Normal,,75,0,0.0
323,Fairy,,35,355,Rock,Bug,75,0,0.0
475,Water,Ice,70,395,Ice,,59,0,0.37549407114624506
540,Fire,,83,313,Grass,,38,1,1.0
360,Electric,,95,485,Ice,,105,0,0.0
442,Normal,Flying,100,413,Water,,60,1,0.5169590643274854
450,Normal,,50,240,Normal,,28,1,1.0
505,Fire,,100,600,Bug,Steel,75,1,0.7709923664122137
680,Psychic,,130,430,Steel,Rock,40,1,1.0
680,Fire,Flying,90,350,Normal,Flying,60,1,1.0
680,Psychic,Flying,110,294,Grass,Poison,15,1,1.0
325,Electric,Steel,45,530,Grass,,120,0,0.0
380,Normal,,70,495,Fighting,Dark,58,0,0.0
500,Ghost,Poison,110,490,Normal,,90,0,0.0
253,Normal,,72,350,Fire,,60,0,0.0
414,Bug,Flying,60,505,Dark,Flying,71,0,0.0
525,Dark,,65,528,Fire,Fighting,65,1,0.19908987485779295
410,Dragon,Ground,82,275,Electric,,60,1,1.0
535,Water,Ground,60,309,Fire,,61,1,1.0
500,Bug,Steel,65,525,Fighting,Steel,90,0,0.0
288,Normal,,48,330,Water,Electric,67,0,0.0
510,Electric,,55,518,Psychic,Fairy,80,0,0.0
600,Bug,Steel,75,600,Normal,Fighting,128,0,0.0
305,Ice,Psychic,65,495,Rock,,58,0,0.0
250,Normal,,31,580,Psychic,,95,0,0.0
490,Grass,Poison,70,310,Normal,Flying,75,1,1.0
405,Water,Ground,50,295,Electric,,76,1,1.0
590,Psychic,,150,275,Grass,,35,1,1.0
262,Normal,Flying,70,405,Fighting,,40,0,0.0
634,Fire,Flying,100,490,Normal,,100,1,0.39281288723667906
210,Normal,Fairy,15,500,Bug,Fighting,85,0,0.0
630,Steel,,50,590,Dragon,Fairy,80,0,0.0
485,Electric,,110,528,Grass,,113,0,0.0
300,Dragon,Ground,42,580,Water,Fighting,108,0,0.0
505,Fire,,100,300,Steel,,30,1,1.0
290,Ground,,10,278,Normal,Flying,62,0,0.0
455,Normal,Psychic,85,464,Grass,Poison,30,1,0.6622998544395924
460,Psychic,Fairy,90,600,Ground,Flying,91,0,0.0
440,Water,,85,600,Psychic,,90,0,0.0
300,Dragon,,50,498,Grass,,101,0,0.0
385,Normal,,30,334,Grass,Ice,40,0,0.0
700,Dragon,Psychic,110,580,Water,Fighting,108,0,0.7070707070707071
515,Normal,,50,316,Grass,,64,1,1.0
505,Fighting,,55,280,Rock,,15,1,1.0
265,Ground,,95,330,Electric,,100,0,0.0
405,Ground,,120,310,Grass,,70,1,1.0
205,Bug,Poison,35,480,Normal,,105,0,0.0
195,Bug,Poison,50,635,Water,Ground,70,0,0.0
520,Grass,Psychic,55,520,Ghost,Fire,80,0,0.0
336,Psychic,,48,288,Water,Ground,60,0,0.0
251,Normal,Flying,56,262,Normal,Flying,50,0,0.48927875243664715
295,Grass,,35,530,Grass,Fighting,64,0,0.0
450,Ground,,65,220,Normal,,30,1,1.0
305,Fighting,,35,350,Rock,Steel,30,1,0.7770700636942676
670,Normal,,100,325,Bug,Rock,55,1,1.0
600,Psychic,Grass,100,480,Dark,Ghost,20,0,0.0
405,Psychic,,33,507,Fire,Normal,106,0,0.0
260,Normal,,50,275,Normal,,55,0,0.0
314,Water,,43,309,Fire,,65,0,0.0
300,Steel,Psychic,23,395,Ice,,59,0,0.0
314,Water,,43,465,Fighting,,45,0,0.0
458,Poison,,65,423,Normal,Ground,78,0,0.0
340,Water,,85,350,Normal,,85,0,0.3269230769230769
479,Normal,Flying,101,262,Normal,Flying,50,1,1.0
498,Ghost,Flying,80,680,Dark,Flying,99,0,0.0
500,Fire,,105,680,Psychic,Flying,110,0,0.0
615,Rock,Flying,150,780,Psychic,Fighting,130,1,0.44086021505376344
460,Psychic,Fairy,90,458,Poison,,65,1,0.5010893246187363
405,Water,Ground,50,535,Grass,,50,0,0.0
350,Normal,Flying,60,369,Fire,Normal,72,0,0.0
420,Steel,Psychic,50,540,Electric,,95,0,0.0
405,Psychic,,33,600,Rock,Fairy,50,0,0.0
468,Water,Ground,60,465,Fighting,,45,0,0.5016077170418006
519,Ground,Dark,92,423,Normal,Ground,78,0,0.5509554140127388
270,Normal,Fairy,20,680,Psychic,Dark,80,0,0.0
305,Water,,40,250,Water,Fairy,40,0,0.23371647509578544
253,Normal,,72,471,Ground,Electric,32,0,0.0
355,Rock,Bug,75,418,Fire,Fighting,55,0,0.17513566847557968
300,Fairy,,30,475,Grass,Dark,55,0,0.0
420,Water,Fairy,50,360,Normal,,85,0,0.0
320,Electric,,90,313,Grass,,38,0,0.3382663847780127
205,Bug,Poison,35,442,Normal,Flying,70,0,0.0
303,Fairy,,42,470,Steel,Fairy,75,0,0.0
205,Bug,,15,510,Dark,Ice,125,0,0.0
262,Normal,Flying,70,450,Bug,Poison,90,0,0.0
375,Rock,,30,480,Ice,,80,0,0.0
480,Water,Grass,70,330,Steel,Rock,30,1,1.0
300,Rock,Ground,41,484,Bug,Steel,109,0,0.0
305,Fighting,,35,305,Water,Flying,55,0,0.0
435,Grass,,60,590,Normal,,100,0,0.0
308,Water,,35,515,Normal,,50,0,0.0
700,Dragon,Psychic,110,594,Grass,Ice,30,1,0.5409582689335394
395,Bug,Poison,75,610,Steel,Ground,30,0,0.0
330,Normal,,40,520,Electric,Grass,86,0,0.0
318,Grass,,45,780,Dragon,Flying,115,0,0.0
285,Fighting,,60,420,Normal,,77,0,0.0
300,Dragon,,50,480,Ice,,80,0,0.0
237,Fighting,,25,580,Flying,,111,0,0.0
455,Normal,Psychic,85,308,Water,,35,1,1.0
680,Ghost,Dragon,90,395,Ice,,59,1,1.0
290,Normal,,90,500,Poison,,50,0,0.0
500,Dark,Fire,95,680,Water,Dragon,100,0,0.0
345,Ground,Rock,25,306,Rock,Water,50,0,0.0
270,Normal,Flying,85,474,Ghost,Grass,56,0,0.0
450,Normal,,50,600,Dark,,125,0,0.0
220,Grass,,30,495,Rock,Bug,45,0,0.0
300,Grass,Poison,40,472,Normal,,102,0,0.0
495,Fire,,93,318,Grass,,45,1,1.0
269,Bug,Water,65,350,Grass,,52,0,0.0
310,Psychic,,90,495,Bug,Steel,20,0,0.0
600,Dragon,Psychic,110,505,Dark,Flying,71,0,0.0
280,Fighting,Psychic,60,405,Water,,97,0,0.0
700,Dragon,Psychic,110,600,Bug,Steel,99,0,0.22580645161290322
470,Water,,65,507,Fire,Normal,106,0,0.0
405,Ghost,Poison,95,460,Grass,Fighting,70,0,0.6377952755905512
310,Fire,,45,305,Grass,Steel,10,1,0.8025889967637541
